|neg|neu|pos|compound
168|0.0|0.439|0.561|0.8957
169|0.149|0.385|0.466|0.9794
170|0.033|0.666|0.302|0.9657
171|0.128|0.75|0.123|-0.8505
172|0.0|0.669|0.331|0.8555
173|0.0|0.55|0.45|0.9618
174|0.047|0.601|0.352|0.9931
175|0.148|0.463|0.389|0.5574
176|0.102|0.708|0.19|0.9083
177|0.688|0.312|0.0|-0.296
178|0.688|0.312|0.0|-0.296
179|0.07|0.771|0.158|0.8178
180|0.0|1.0|0.0|0.0
181|0.138|0.633|0.23|0.875
182|0.087|0.778|0.136|0.4019
183|0.082|0.737|0.181|0.9821
184|0.0|1.0|0.0|0.0
185|0.0|0.554|0.446|0.9861
186|0.688|0.312|0.0|-0.296
187|0.052|0.548|0.4|0.9846
188|0.056|0.741|0.202|0.9423
189|0.688|0.312|0.0|-0.296
190|0.149|0.591|0.26|0.9636
191|0.078|0.631|0.291|0.8788
192|0.126|0.588|0.286|0.9645
193|0.03|0.638|0.332|0.9806
194|0.688|0.312|0.0|-0.296
195|0.046|0.655|0.299|0.9648
196|0.0|0.42|0.58|0.7845
197|0.0|0.583|0.417|0.9584
198|0.095|0.553|0.351|0.9923
199|0.0|0.694|0.306|0.986
200|0.111|0.708|0.182|0.9042
201|0.063|0.552|0.385|0.984
202|0.276|0.724|0.0|-0.8625
203|0.171|0.657|0.172|-0.5994
204|0.0|0.473|0.527|0.9403
205|0.096|0.667|0.238|0.985
206|0.0|0.644|0.356|0.7351
207|0.0|0.522|0.478|0.9592
208|0.06|0.577|0.363|0.9844
209|0.0|0.606|0.394|0.9855
210|0.037|0.671|0.292|0.9702
211|0.0|0.428|0.572|0.9812
212|0.0|0.482|0.518|0.9741
213|0.078|0.688|0.233|0.9772
214|0.022|0.639|0.339|0.9948
215|0.688|0.312|0.0|-0.296
216|0.02|0.668|0.312|0.9748
217|0.067|0.582|0.351|0.9136
218|0.057|0.611|0.331|0.9423
219|0.163|0.495|0.342|0.9153
220|0.045|0.667|0.288|0.8833
221|0.0|0.49|0.51|0.9935
222|0.688|0.312|0.0|-0.296
223|0.688|0.312|0.0|-0.296
224|0.05|0.89|0.06|0.0772
225|0.179|0.688|0.133|-0.25
226|0.04|0.645|0.315|0.9722
227|0.056|0.631|0.312|0.9001
228|0.036|0.617|0.347|0.9814
229|0.084|0.615|0.301|0.9837
230|0.141|0.721|0.138|-0.296
231|0.07|0.647|0.283|0.9709
232|0.0|0.558|0.442|0.8979
233|0.074|0.708|0.218|0.8895
234|0.16|0.514|0.326|0.891
235|0.068|0.641|0.291|0.9872
236|0.087|0.654|0.258|0.977
237|0.0|0.64|0.36|0.9517
238|0.055|0.573|0.372|0.9788
239|0.688|0.312|0.0|-0.296
240|0.099|0.636|0.264|0.8393
241|0.009|0.609|0.382|0.9951
242|0.121|0.551|0.328|0.9493
243|0.0|0.825|0.175|0.1779
244|0.083|0.638|0.279|0.9805
245|0.084|0.66|0.257|0.968
246|0.0|0.305|0.695|0.7964
247|0.087|0.689|0.223|0.9442
248|0.0|0.44|0.56|0.9186
249|0.254|0.537|0.209|-0.4885
250|0.0|0.423|0.577|0.9062
251|0.107|0.752|0.141|0.3425
252|0.688|0.312|0.0|-0.296
253|0.158|0.626|0.217|0.2088
254|0.112|0.549|0.339|0.8779
255|0.085|0.541|0.374|0.9767
256|0.032|0.623|0.345|0.9828
257|0.688|0.312|0.0|-0.296
258|0.0|0.604|0.396|0.9928
259|0.0|0.536|0.464|0.9782
260|0.688|0.312|0.0|-0.296
261|0.065|0.671|0.263|0.981
262|0.022|0.696|0.282|0.9871
263|0.06|0.694|0.245|0.7906
264|0.688|0.312|0.0|-0.296
265|0.025|0.6|0.375|0.9936
266|0.0|0.607|0.393|0.8555
267|0.0|1.0|0.0|0.0
268|0.688|0.312|0.0|-0.296
269|0.057|0.614|0.329|0.9871
270|0.291|0.63|0.079|-0.9692
271|0.09|0.618|0.292|0.9814
272|0.131|0.69|0.18|0.3911
273|0.078|0.665|0.257|0.9797
274|0.044|0.57|0.385|0.9773
275|0.688|0.312|0.0|-0.296
276|0.135|0.592|0.274|0.8555
277|0.04|0.778|0.182|0.9628
278|0.076|0.554|0.37|0.8658
279|0.065|0.63|0.305|0.9925
280|0.688|0.312|0.0|-0.296
281|0.094|0.715|0.19|0.9453
282|0.0|0.705|0.295|0.7269
283|0.688|0.312|0.0|-0.296
284|0.154|0.738|0.108|-0.9681
285|0.191|0.674|0.135|-0.7762
286|0.0|0.412|0.588|0.6908
287|0.0|0.261|0.739|0.9325
288|0.054|0.669|0.277|0.9954
289|0.164|0.671|0.165|-0.5317
290|0.688|0.312|0.0|-0.296
291|0.0|0.583|0.417|0.9743
292|0.289|0.509|0.202|-0.8087
293|0.024|0.488|0.488|0.9769
294|0.072|0.642|0.285|0.9971
295|0.134|0.529|0.337|0.8481
296|0.118|0.709|0.172|0.5003
297|0.075|0.925|0.0|-0.0572
298|0.145|0.549|0.305|0.6486
299|0.688|0.312|0.0|-0.296
300|0.071|0.815|0.114|0.2023
301|0.21|0.65|0.14|-0.9902
302|0.043|0.698|0.259|0.5423
303|0.0|0.592|0.408|0.993
304|0.037|0.632|0.331|0.9753
305|0.0|0.781|0.219|0.9423
306|0.688|0.312|0.0|-0.296
307|0.291|0.602|0.107|-0.8581
308|0.078|0.544|0.377|0.9878
309|0.052|0.712|0.236|0.9451
310|0.0|1.0|0.0|0.0
311|0.0|0.748|0.252|0.9833
312|0.227|0.67|0.103|-0.7783
313|0.11|0.649|0.24|0.9867
314|0.021|0.711|0.268|0.9811
315|0.085|0.754|0.161|0.95
316|0.088|0.726|0.186|0.9478
317|0.144|0.704|0.151|0.627
318|0.065|0.617|0.319|0.9963
319|0.688|0.312|0.0|-0.296
320|0.145|0.652|0.203|0.9558
321|0.089|0.715|0.196|0.9074
322|0.053|0.519|0.429|0.9978
323|0.138|0.52|0.342|0.9975
324|0.248|0.752|0.0|-0.7645
325|0.096|0.57|0.334|0.9587
326|0.08|0.7|0.22|0.9931
327|0.102|0.654|0.244|0.9532
328|0.114|0.671|0.216|0.8787
329|0.688|0.312|0.0|-0.296
330|0.0|1.0|0.0|0.0
331|0.084|0.722|0.194|0.8957
332|0.114|0.662|0.224|0.6705
333|0.0|1.0|0.0|0.0
334|0.008|0.698|0.294|0.9924
335|0.036|0.584|0.38|0.9531
336|0.052|0.736|0.213|0.9925
337|0.022|0.677|0.301|0.926
338|0.083|0.616|0.301|0.9962
339|0.08|0.626|0.294|0.9739
340|0.063|0.659|0.278|0.9967
341|0.127|0.753|0.121|-0.0644
342|0.141|0.594|0.265|0.873
343|0.688|0.312|0.0|-0.296
344|0.13|0.6|0.271|0.8779
345|0.138|0.761|0.101|-0.6124
346|0.066|0.769|0.165|0.9869
347|0.104|0.764|0.132|0.6908
348|0.0|0.563|0.437|0.9714
349|0.113|0.723|0.163|0.9976
350|0.069|0.768|0.163|0.9899
351|0.02|0.883|0.096|0.6767
352|0.132|0.763|0.105|-0.899
353|0.094|0.601|0.305|0.9966
354|0.073|0.599|0.328|0.9741
355|0.017|0.637|0.347|0.9878
356|0.076|0.672|0.252|0.998
357|0.148|0.596|0.255|0.9854
358|0.041|0.757|0.202|0.9976
359|0.148|0.735|0.117|-0.9105
360|0.073|0.711|0.217|0.961
361|0.688|0.312|0.0|-0.296
362|0.029|0.786|0.185|0.9458
363|0.688|0.312|0.0|-0.296
364|0.153|0.525|0.322|0.9634
365|0.012|0.729|0.259|0.9806
366|0.688|0.312|0.0|-0.296
367|0.017|0.844|0.139|0.9661
368|0.688|0.312|0.0|-0.296
369|0.048|0.589|0.363|0.9318
370|0.0|0.656|0.344|0.8555
371|0.0|0.625|0.375|0.6369
372|0.0|0.382|0.618|0.9607
373|0.086|0.756|0.158|0.8788
374|0.09|0.734|0.176|0.9969
375|0.032|0.888|0.081|0.7783
376|0.0|0.895|0.105|0.3987
377|0.093|0.714|0.193|0.34
378|0.688|0.312|0.0|-0.296
379|0.022|0.653|0.325|0.9829
380|0.688|0.312|0.0|-0.296
381|0.105|0.573|0.322|0.9812
382|0.688|0.312|0.0|-0.296
383|0.098|0.613|0.289|0.9808
384|0.0|0.581|0.419|0.9812
385|0.688|0.312|0.0|-0.296
386|0.688|0.312|0.0|-0.296
387|0.688|0.312|0.0|-0.296
388|0.688|0.312|0.0|-0.296
389|0.246|0.715|0.039|-0.8381
390|0.688|0.312|0.0|-0.296
391|0.118|0.616|0.266|0.835
392|0.059|0.705|0.236|0.936
393|0.688|0.312|0.0|-0.296
394|0.688|0.312|0.0|-0.296
395|0.688|0.312|0.0|-0.296
396|0.688|0.312|0.0|-0.296
397|0.0|0.839|0.161|0.3612
398|0.688|0.312|0.0|-0.296
399|0.0|0.841|0.159|0.6808
400|0.688|0.312|0.0|-0.296
401|0.688|0.312|0.0|-0.296
402|0.076|0.879|0.045|-0.6597
403|0.688|0.312|0.0|-0.296
404|0.0|0.98|0.02|0.0772
405|0.139|0.826|0.035|-0.6599
406|0.106|0.574|0.321|0.9759
407|0.0|0.678|0.322|0.9231
408|0.0|0.599|0.401|0.8271
409|0.087|0.738|0.174|0.9738
410|0.0|0.706|0.294|0.3612
411|0.0|1.0|0.0|0.0
412|0.0|0.402|0.598|0.9694
413|0.116|0.6|0.284|0.9809
414|0.197|0.657|0.146|-0.25
415|0.0|0.636|0.364|0.9118
416|0.688|0.312|0.0|-0.296
417|0.088|0.735|0.177|0.8805
418|0.126|0.603|0.271|0.9153
419|0.069|0.931|0.0|-0.0286
420|0.15|0.463|0.387|0.9228
421|0.19|0.782|0.028|-0.8266
422|0.688|0.312|0.0|-0.296
423|0.116|0.602|0.281|0.915
424|0.166|0.66|0.174|-0.1373
425|0.318|0.519|0.162|-0.1027
426|0.045|0.59|0.365|0.91
427|0.035|0.628|0.337|0.9751
428|0.0|1.0|0.0|0.0
429|0.039|0.694|0.267|0.9842
430|0.0|0.633|0.367|0.7138
431|0.0|0.435|0.565|0.8859
432|0.268|0.588|0.144|-0.6753
433|0.0|0.743|0.257|0.7906
434|0.039|0.55|0.411|0.9905
435|0.054|0.623|0.323|0.9818
436|0.0|1.0|0.0|0.0
437|0.0|0.556|0.444|0.9349
438|0.0|0.394|0.606|0.7717
439|0.177|0.635|0.188|-0.1531
440|0.0|1.0|0.0|0.0
441|0.135|0.683|0.182|0.3532
442|0.0|0.802|0.198|0.296
443|0.049|0.479|0.472|0.9855
444|0.0|0.27|0.73|0.4019
445|0.0|0.597|0.403|0.9153
446|0.155|0.676|0.169|0.1027
447|0.0|0.495|0.505|0.9606
448|0.143|0.49|0.366|0.7102
449|0.206|0.535|0.259|0.4357
450|0.0|0.576|0.424|0.9287
451|0.028|0.607|0.365|0.981
452|0.688|0.312|0.0|-0.296
453|0.175|0.584|0.241|0.9324
454|0.688|0.312|0.0|-0.296
455|0.688|0.312|0.0|-0.296
456|0.688|0.312|0.0|-0.296
457|0.688|0.312|0.0|-0.296
458|0.0|0.857|0.143|0.3612
459|0.688|0.312|0.0|-0.296
460|0.16|0.54|0.301|0.7827
461|0.162|0.629|0.209|0.8201
462|0.688|0.312|0.0|-0.296
463|0.0|0.566|0.434|0.98
464|0.235|0.671|0.094|-0.6369
465|0.688|0.312|0.0|-0.296
466|0.688|0.312|0.0|-0.296
467|0.688|0.312|0.0|-0.296
468|0.688|0.312|0.0|-0.296
469|0.106|0.565|0.329|0.9545
470|0.688|0.312|0.0|-0.296
471|0.688|0.312|0.0|-0.296
472|0.0|0.625|0.375|0.7351
473|0.0|0.588|0.412|0.9413
474|0.688|0.312|0.0|-0.296
475|0.251|0.545|0.203|-0.211
476|0.688|0.312|0.0|-0.296
477|0.143|0.649|0.208|0.5267
478|0.688|0.312|0.0|-0.296
479|0.688|0.312|0.0|-0.296
480|0.0|0.417|0.583|0.8316
481|0.0|0.417|0.583|0.6369
482|0.0|0.342|0.658|0.8271
483|0.0|0.524|0.476|0.9779
484|0.0|0.737|0.263|0.6124
485|0.312|0.487|0.201|-0.5426
486|0.0|0.655|0.345|0.9588
487|0.0|1.0|0.0|0.0
488|0.0|1.0|0.0|0.0
489|0.0|1.0|0.0|0.0
490|0.688|0.312|0.0|-0.296
491|0.0|0.543|0.457|0.6369
492|0.688|0.312|0.0|-0.296
493|0.0|0.545|0.455|0.8176
494|0.0|0.723|0.277|0.7783
495|0.688|0.312|0.0|-0.296
496|0.688|0.312|0.0|-0.296
497|0.688|0.312|0.0|-0.296
498|0.0|0.0|1.0|0.5423
499|0.688|0.312|0.0|-0.296
500|0.133|0.693|0.174|0.2263
501|0.0|0.578|0.422|0.886
502|0.688|0.312|0.0|-0.296
503|0.688|0.312|0.0|-0.296
504|0.292|0.623|0.086|-0.9701
505|0.688|0.312|0.0|-0.296
506|0.281|0.719|0.0|-0.5994
507|0.688|0.312|0.0|-0.296
508|0.688|0.312|0.0|-0.296
509|0.06|0.555|0.385|0.986
510|0.688|0.312|0.0|-0.296
511|0.0|0.887|0.113|0.3182
512|0.688|0.312|0.0|-0.296
513|0.291|0.253|0.456|0.3818
514|0.688|0.312|0.0|-0.296
515|0.688|0.312|0.0|-0.296
516|0.688|0.312|0.0|-0.296
517|0.688|0.312|0.0|-0.296
518|0.688|0.312|0.0|-0.296
519|0.688|0.312|0.0|-0.296
520|0.688|0.312|0.0|-0.296
521|0.0|1.0|0.0|0.0
