|Happy|Angry|Surprise|Sad|Fear|emotion
529|0.0|0.0|0.0|0.0|0.0|Happy
530|0.14|0.0|0.29|0.14|0.43|Fear
531|0.0|0.0|0.0|0.0|0.0|Happy
532|0.33|0.0|0.0|0.0|0.67|Fear
533|1.0|0.0|0.0|0.0|0.0|Happy
534|0.0|0.0|0.33|0.33|0.33|Surprise
535|0.0|0.0|0.0|0.0|0.0|Happy
536|0.0|0.0|0.5|0.17|0.33|Surprise
537|0.33|0.0|0.0|0.33|0.33|Happy
538|0.11|0.0|0.33|0.33|0.22|Surprise
539|0.0|0.0|0.0|0.0|1.0|Fear
540|0.0|0.0|0.0|0.0|0.0|Happy
541|0.43|0.0|0.14|0.29|0.14|Happy
542|0.0|0.0|0.0|0.0|0.0|Happy
543|0.0|0.0|0.0|0.0|0.0|Happy
544|0.0|0.0|0.0|0.0|0.0|Happy
545|0.0|0.0|0.0|0.0|0.0|Happy
546|0.0|0.0|0.0|0.0|0.0|Happy
547|0.0|0.0|0.0|0.0|0.0|Happy
548|0.17|0.0|0.5|0.33|0.0|Surprise
549|0.0|0.0|0.0|0.0|0.0|Happy
550|0.0|0.0|0.0|0.0|0.0|Happy
551|0.0|0.0|0.0|0.0|0.0|Happy
552|0.0|0.0|0.5|0.33|0.17|Surprise
553|0.0|0.0|0.0|0.0|0.0|Happy
554|0.29|0.0|0.14|0.29|0.29|Happy
555|0.0|0.0|0.5|0.5|0.0|Surprise
556|0.5|0.5|0.0|0.0|0.0|Happy
557|0.5|0.0|0.0|0.5|0.0|Happy
558|0.2|0.1|0.4|0.2|0.1|Surprise
559|0.0|0.0|0.0|0.0|0.0|Happy
560|0.0|0.0|0.33|0.67|0.0|Sad
561|0.25|0.0|0.5|0.25|0.0|Surprise
562|0.03|0.08|0.42|0.11|0.36|Surprise
563|0.4|0.0|0.4|0.2|0.0|Happy
564|0.0|0.0|0.0|0.0|0.0|Happy
565|0.14|0.0|0.29|0.14|0.43|Fear
566|0.33|0.0|0.33|0.0|0.33|Happy
567|0.14|0.0|0.09|0.36|0.41|Fear
568|0.19|0.06|0.22|0.16|0.38|Fear
569|0.0|0.0|0.0|0.0|0.0|Happy
570|0.0|0.08|0.15|0.31|0.46|Fear
